name,website,facebook,street,city,county,state,zip
100-Mile Market,http://www.peoplesfoodco-op.org/,,507 Harrison Street,Kalamazoo,Kalamazoo,Michigan,49007
106 S. Main Street Farmers Market,http://thetownofsixmile.wordpress.com/,,106 S. Main Street,Six Mile,,South Carolina,29682
10th Steet Community Farmers Market,,,10th Street and Poplar,Lamar ,Barton,Missouri,64759
112st Madison Avenue,,,112th Madison Avenue,New York,New York,New York,10029
125th Street Fresh Connect Farmers' Market,http://www.125thStreetFarmersMarket.com,https://www.facebook.com/125thStreetFarmersMarket,"163 West 125th Street and Adam Clayton Powell, Jr. Blvd.",New York,New York,New York,10027
12th & Brandywine Urban Farm Market,,https://www.facebook.com/pages/12th-Brandywine-Urban-Farm-Community-Garden/253769448091860,12th & Brandywine Streets,Wilmington,New Castle,Delaware,19801
14&U Farmers' Market,,https://www.facebook.com/14UFarmersMarket,1400 U Street NW ,Washington,District of Columbia,District of Columbia,20009
17 on the Square,,,17 Lincoln Square,Gettysburg,Adams,Pennsylvania,17325
175th Street Greenmarket,http://www.grownyc.org/ourmarkets,,175th Street at Wadsworth Ave,New York,New York,New York,10033
17th Ave Market,http://www.iatp.org/minimarkets,,1622 6th St NE,Minneapolis,Hennepin,Minnesota,55413
17th Street Farmers Market,http://www.17thstreetfarmersmarket.com,,17th & Main Streets,Richmond,Henrico,Virginia,23219
18th and Christian Farmers' Market,http://thefoodtrust.org/farmers-markets/market/18th-Christian,,18th Street and Christian Street,Philadelphia,Philadelphia,Pennsylvania,19146
18th Street Farmer's Market,,https://www.facebook.com/ScottsbluffFarmersMarket,18th and Broadway,Scottsbluff,Scotts Bluff,Nebraska,69361
18th Street Farmers Market,,https://www.facebook.com/groups/631614906915563/,825 18th Street,Charleston,Coles,Illinois,61920
2014 Wood County Farmers' Market,,https://www.facebook.com/groups/Woodcountyfarmersmarket/,555 W. Grand Ave.,Wisconsin Rapids,Wood,Wisconsin,54495
20th Annual Highlands Business Partnership Farmers Market,http://www.highlandsnj.com,https://www.facebook.com/pages/Highlands-Business-Partnership-Highlands-NJ/165486543524770,71 Waterwitch Avenue,Highlands,Monmouth,New Jersey,7732
21st Street Farmers Market,,,SW 21st and Oakley,Topeka,Shawnee,Kansas,66604
22nd and Tasker Farmers' Market,http://thefoodtrust.org/farmers-markets/market/22nd-tasker,,22nd and Tasker Streets,Philadelphia,Philadelphia,Pennsylvania,19146
25th Avenue Farmers' Market,http://www.pcfma.com/market_home.php?market_id=40,,194 W 25th Avenue,San Mateo,San Mateo,California,94403
26th and Allegheny,http://thefoodtrust.org/farmers-markets/market/26th-Allegheny,,26th Street and W Allegheny Avenue,Philadelphia,Philadelphia,Pennsylvania,19129
29th and Wharton Farmers' Market,http://thefoodtrust.org/farmers-markets/market/29th-wharton,,29th and Wharton Streets,Philadelphia,Philadelphia,Pennsylvania,19146
2nd Street Farmers' Market,http://secondstageAmherst.org,second stage of AMherst,194 second street,Amherst,Amherst,Virginia,24521
